rank,address,balance,percentage
1,"0xc6a82e72156a11a2e1634633af5e4517b451f0d9","111444.4483","4.30"
2,"0xf5383bc332e01f066edb84a6647066da02695ea7","108482.6096","4.18"
3,"0x0000a919fdb798a0122372fa7c05b1848f167a90","75250.4133","2.90"
4,"0xebd1159122883ecc045ad7d7b9f3ccaeae0e67d9","67664.0853","2.61"
5,"0x373d72247caddb4f954b14d28c9092845aa0e4a5","45195.0243","1.74"
6,"0x76f0b8e6cde5b9d82438448250660f40723da9c9","44173.9020","1.70"
7,"0xd9df1d931cfab59965c1a87e1e55131632357f0d","42061.6075","1.62"
8,"0x0d55bf41b332a5ce48b7794ed1100c0b71cbb459","31470.3529","1.21"
9,"0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45","25596.8050","0.99"
10,"0x1bb5654e938937ecba35a9a67f71e58709c20369","24099.0091","0.93"
11,"0x37860b28f8cbd4b0cbed92e1416237981d7557e8","21195.7548","0.82"
12,"0xa1ed93bf44ba35f1e8ebfb4d104a0e109337a5aa","20824.3787","0.80"
13,"0x89344efa2d9953accd3e907eab27b33542ed9e25","19628.6851","0.76"
14,"0x24c47db1cc0ba028836bf808175c044055d037ec","19383.1944","0.75"
15,"0xb354af60d85e5fe431facdbb9388e4e4f70e1bbd","17979.6926","0.69"
16,"0xc6eedfcbb3b44cfe4e8424be34fcab4ed73036a1","17755.4023","0.68"
17,"0xb624c17d22bb52cd55887c442639e570e4e27472","16526.0248","0.64"
18,"0xde145f934f7e0f30f412a33a69cd089f57cec3b8","16029.3390","0.62"
19,"0x5f7b30c41f68c12018e0ca64bf8a57e3bef454f6","15174.9605","0.58"
20,"0xe5f43ba510d3ea0d7288ec9f10fce02a65eff4f7","14632.9875","0.56"
21,"0xe14d3f62168c56fa27f2a67c2161c0e53b84d4e4","14272.6755","0.55"
22,"0x3a662f787168e8d856e801c75449876f4da9208a","11892.8941","0.46"
23,"0xcf24ea3a6d7cbd4aeaf4fea6447e7071ba7173cc","11766.4220","0.45"
24,"0x02cf4d6f51b736d4b3542fc552fabc08dfc0e410","11287.4073","0.44"
25,"0x65baee2eb84b5855ac183bd7bacf1b90bcab51e5","11209.6953","0.43"
26,"0xef5ee88cd3e051444ae410b500e6f392d3ecb94c","11016.0940","0.42"
27,"0xbb5f29b06beff32d4a938abde97415a7fc32b3ad","10935.0326","0.42"
28,"0x166ed9f7a56053c7c4e77cb0c91a9e46bbc5e8b0","10700.3303","0.41"
29,"0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd","10450.1876","0.40"
30,"0x3be7f32e568482bd0c5b842c7ddaf6946636fd86","10277.1308","0.40"
31,"0x15ed1e0c61ca2fbb98b0ad2f6ed549fe0ee175c7","10187.4187","0.39"
32,"0xeee2f8c6c5bf93618558222ae2e600e0fb299966","10129.4027","0.39"
33,"0xc304a53f9860f44fdae9d03735b46c9535e13fb5","10000.0348","0.39"
34,"0x3e55a0997fc8e175ee9358764e443c7952b69afa","9372.0000","0.36"
35,"0x2abc4192378087b802b0e45bb0ffa9d7a07148a2","9297.5562","0.36"
36,"0x3f0627532929063da3f60c13e8548fe05f798653","9239.4150","0.36"
37,"0xcd34746eac14e60f666e3cee9d7991d045bbf761","8203.5294","0.32"
38,"0x1bf03c8920058d4091abf6b9a578e8a835ee2b24","8038.9023","0.31"
39,"0x6045ebf08f570fcaa7db8f146dbe7e1c7014133b","7722.0161","0.30"
40,"0x5245f9ff617d2c687ac1fb0237d17a576c9ecc42","7676.7873","0.30"
